// SCIENTIST (For voice tone/pitch reference, check the E3 1998 Office Complex video)

//The scientist agrees to follow you

SC_OK0 scientist/excellentteam "Sure, with my brains and your brawn, we can make an excellent team!"
SC_OK1 scientist/fellowscientist "I'll be glad to help a fellow scientist."
SC_OK2 scientist/fine "Fine then, you won't even know I am here."
SC_OK3 scientist/hopeyouknow "I surely hope you know what you're doing."
SC_OK4 scientist/leadtheway "Lead the way."
SC_OK5 scientist/letsgo "Let's go!"
SC_OK6 scientist/yesletsgo "Yes, let's go."
SC_OK7 scientist/yes3 "Yes, ok."
SC_OK8 scientist/alright "Alright. Let's get out of here!"

//When the player doesn't want to be followed by a scientist

SC_WAIT0 scientist/beenaburden "Have I really been a burden?" (reference retail wav for tone of voice)
SC_WAIT1 scientist/slowingyou "I'm slowing you down, aren't I?"
SC_WAIT2 scientist/reconsider "Fine, not that you will reconsider."
SC_WAIT3 scientist/whyleavehere "Why are you leaving me here?" (quiet, frightened)
SC_WAIT4 scientist/illwaithere "I will wait here."
SC_WAIT5 scientist/istay "I will stay here."
SC_WAIT6 scientist/illwait "Fine, I'll wait."

// When the scientist can't follow you

SC_STOP0 scientist/stop1 "This is as far as I can go."
SC_STOP1 scientist/stop2 "I refuse to go another step!" (reference retail for tone of voice)
SC_STOP2 scientist/stop3 "You are going to have to leave me here, Gordon."
SC_STOP3 scientist/stop4 "I am going to stay here and wait for my colleagues."


// When player is staring at scientist
SC_STARE0 scientist/yees "Yeeeees?"
SC_STARE1 scientist/areyouthink "Are you thinking what I am thinking?"
SC_STARE2 scientist/noidea "You don't have any idea of what is going on, do you?"

// When a scientist sees the player post-disaster

SC_HELLO0 scientist/hellothere "Hello there!"
SC_HELLO1 scientist/freemanalive "Freeman, who would have thought that you are still alive?!"
SC_HELLO2 scientist/afellowsci "A fellow scientist!" (relieved)
SC_HELLO3 scientist/greetings2 "Greetings." (relieved)
SC_HELLO4 scientist/hello "Hello"
SC_HELLO5 scientist/goodtoseeyou "Good to see you."
SC_HELLO6 scientist/newhevsuit "I see you have that new HEV suit on. That should be quite useful!"
SC_HELLO7 scientist/hellofromlab "Hello, you're from the labs? I do recognize you."
SC_HELLO8 scientist/inmesstoo "Aah, I see you are in this mess too."

// Scientist conversation answers

SC_ANSWER0 scientist/notsure "I am not sure."
SC_ANSWER1 scientist/notcertain "I'm not certain."
SC_ANSWER2 scientist/perhaps "Perhaps..."
SC_ANSWER3 scientist/whocansay "Who can say?"
SC_ANSWER4 scientist/inconclusive "It's inconclusive."
SC_ANSWER5 scientist/theoretically "Theoretically."
SC_ANSWER6 scientist/whyaskme "Why ask me?"
SC_ANSWER7 scientist/lowervoice "Kindly lower your voice."
SC_ANSWER8 scientist/ofcourse "Of course!"
SC_ANSWER9 scientist/absolutely "Absolutely."
SC_ANSWER10 scientist/yes "Yes."
SC_ANSWER11 scientist/ibelieveso "I believe so."
SC_ANSWER12 scientist/right "Right."
SC_ANSWER13 scientist/imsure "I am sure of it."
SC_ANSWER14 scientist/positively "Positively!"
SC_ANSWER15 scientist/nodoubt "I have no doubt."
SC_ANSWER16 scientist/yees "Yeeees?"
SC_ANSWER17 scientist/ofcoursenot "Of course not." (reference retail for tone)
SC_ANSWER18 scientist/absolutelynot "Absolutely not!" (reference retail for tone)
SC_ANSWER19 scientist/noo "Noooo..?"
SC_ANSWER20 scientist/idontthinkso "I don't think so."
SC_ANSWER21 scientist/completelywrong "You're completely wrong."
SC_ANSWER22 scientist/cantbeserious "You can't be serious!"
SC_ANSWER23 scientist/dontknow "I don't know."
SC_ANSWER24 scientist/ridiculous
SC_ANSWER25 scientist/shutup
SC_ANSWER26 scientist/noguess
SC_ANSWER27 scientist/stopasking
SC_ANSWER28 scientist/justasked
SC_ANSWER29 scientist/repeat

// When the scientist asks a fellow scientist or barney something in conversation

SC_QUESTION0 scientist/everseen
SC_QUESTION1 scientist/needsleep
SC_QUESTION2 scientist/areyouthink
SC_QUESTION3 scientist/evergetout
SC_QUESTION4 scientist/rightwayout
SC_QUESTION5 scientist/cantbeworse
SC_QUESTION6 scientist/rescueus
SC_QUESTION7 scientist/fascinating
SC_QUESTION8 scientist/stimulating
SC_QUESTION9 scientist/luckwillchange
SC_QUESTION10 scientist/hearsomething
SC_QUESTION11 scientist/doyousmell
SC_QUESTION12 scientist/uselessphd
SC_QUESTION13 scientist/waithere
SC_QUESTION14 scientist/survival
SC_QUESTION15 scientist/headcrab
SC_QUESTION16 scientist/goodpaper
SC_QUESTION17 scientist/catchone
SC_QUESTION18 scientist/dinner
SC_QUESTION19 scientist/alientrick
SC_QUESTION20 scientist/alienappeal
SC_QUESTION21 scientist/rumorclean
SC_QUESTION22 scientist/nothostile
SC_QUESTION23 scientist/announcer
SC_QUESTION24 scientist/smellburn
SC_QUESTION25 scientist/noidea
SC_QUESTION26 scientist/whatnext

// Random babbling

SC_IDLE0 scientist/ipredictedthis
SC_IDLE1 scientist/containfail
SC_IDLE2 scientist/chaostheory
SC_IDLE3 scientist/howinteresting
SC_IDLE4 scientist/neverseen
SC_IDLE5 scientist/peculiarmarks
SC_IDLE6 scientist/whoresponsible
SC_IDLE7 scientist/nogrant
SC_IDLE8 scientist/bloodsample
SC_IDLE9 scientist/administrator
SC_IDLE10 scientist/improbable
SC_IDLE11 scientist/organicmatter
SC_IDLE12 scientist/lambdalab
SC_IDLE13 scientist/ihearsomething

SC_NOGO scientist/dontgothere

SC_MONST0 scientist/seeheadcrab
SC_MONST1 scientist/importantspecies

// The scientist hears something

SC_HEAR0 scientist/ihearsomething
SC_HEAR1 scientist/didyouhear
SC_HEAR2 scientist/whatissound

// Scientist detects the scent of a dead NPC

SC_SMELL0 scientist/somethingfoul
SC_SMELL1 scientist/odorfromyou
SC_SMELL2 scientist/peculiarodor
SC_SMELL3 scientist/stench

// When the scientist is wounded

SC_WOUND0 scientist/iwounded
SC_WOUND1 scientist/iwounded2

SC_MORTAL0 scientist/iwoundedbad
SC_MORTAL1 scientist/iwounded2

// When a scientist sees you badly wounded

SC_CUREA scientist/youlookbad
SC_CUREB scientist/youwounded
SC_CUREC scientist/youneedmedic

// When a scientist heals you in low health

SC_HEAL0 scientist/heal1
SC_HEAL1 scientist/heal2
SC_HEAL2 scientist/youneedmedic, letstrythis
SC_HEAL3 scientist/youlookbad, holdstill
SC_HEAL4 scientist/youwounded, letstrythis
SC_HEAL5 scientist/heal3
SC_HEAL6 scientist/heal4
SC_HEAL7 scientist/heal5

// Random lines said after a scientist has been attacked by the player

SC_PLFEAR0 scientist/whatyoudoing "What are you doing?" (reference beta sound for tone of the voice)
SC_PLFEAR1 scientist/canttakemore
SC_PLFEAR2 scientist/madness
SC_PLFEAR3 scientist/noplease
SC_PLFEAR4 scientist/getoutofhere
SC_PLFEAR5 scientist/sorryimleaving

// When a scientist sees one of his coworkers being attacked by the player

SC_SCARED0 scientist/whatyoudoing "What are you doing?" (reference beta sound for tone of the voice)
SC_SCARED1 scientist/stopattacking "Stop attacking!"
SC_SCARED2 scientist/youinsane

// Predisaster - When a scientist sees the player for the first time

SC_PHELLO0 scientist/hellofreeman
