// [texture name]	[detail texture name]		[hscale]	[vscale]

bazooka_g03             detail/dt_stone1		10.0		10.0
bazooka_g05             detail/dt_stone1		10.0		10.0128  128  no
br_bd01                 detail/dt_stone1		10.0		10.0256  256  no
br_bd04                 detail/dt_stone1		10.0		10.0256  256  no
br_bd05                 detail/dt_stone1		10.0		10.0256  256  no
br_bd07                 detail/dt_stone1		10.0		10.0256  256  no
br_bd08                 detail/dt_stone1		10.0		10.0256  256  no
br_bd09                 detail/dt_stone1		10.0		10.0256  256  no
br_bd10                 detail/dt_stone1		10.0		10.0256  256  no
br_bd10_02              detail/dt_stone1		10.0		10.0256  256  no
br_bd11                 detail/dt_stone1		10.0		10.0256  256  no
br_bd12                 detail/dt_stone1		10.0		10.0256  256  no
br_bd13                 detail/dt_stone1		10.0		10.0256  256  no
br_bd14                 detail/dt_stone1		10.0		10.0256  256  no
br_bd15                 detail/dt_stone1		10.0		10.0256  256  no
br_bd16                 detail/dt_stone1		10.0		10.0256  256  no
br_bd17                 detail/dt_stone1		10.0		10.0256  256  no
br_bd18_02              detail/dt_stone1		10.0		10.0256  256  no
br_bd19                 detail/dt_stone1		10.0		10.0256  256  no
br_bd20                 detail/dt_stone1		10.0		10.0256  256  no
br_bd21                 detail/dt_stone1		10.0		10.0256  256  no
br_bd22                 detail/dt_stone1		10.0		10.0256  256  no
br_bd23                 detail/dt_stone1		10.0		10.0256  256  no
br_bd24                 detail/dt_stone1		10.0		10.0256  256  no
br_bd25                 detail/dt_stone1		10.0		10.0256  256  no
br_bd25_02              detail/dt_stone1		10.0		10.0256  256  no
br_bd28                 detail/dt_stone1		10.0		10.0256  256  no
br_bd28_02              detail/dt_stone1		10.0		10.0256  256  no
br_bd29                 detail/dt_stone1		10.0		10.0256  256  no
br_bd30_02              detail/dt_stone1		10.0		10.0256  256  no
br_bd32                 detail/dt_stone1		10.0		10.0256  256  no
br_bd33                 detail/dt_stone1		10.0		10.0256  256  no
br_bd34                 detail/dt_stone1		10.0		10.0256  256  no
br_bd34_02              detail/dt_stone1		10.0		10.0256  256  no
br_bd37                 detail/dt_stone1		10.0		10.0256  256  no
br_bd38                 detail/dt_stone1		10.0		10.0256  256  no
br_bd38_02              detail/dt_stone1		10.0		10.0256  256  no
br_bd39                 detail/dt_stone1		10.0		10.0256  256  no
br_bk-block02           detail/dt_stone1		10.0		10.0256  256  no
br_bk-box01             detail/dt_stone1		10.0		10.0256  256  no
br_bk-box02             detail/dt_stone1		10.0		10.0256  256  no
br_bk-box03             detail/dt_metal1		10.0		10.0256  256  no
br_bk-box03_r           detail/dt_metal1		10.0		10.0256  256  no
br_bk-box04             detail/dt_metal1		10.0		10.0256  256  no
br_bk-box05             detail/dt_stone1		10.0		10.0256  256  no
br_bk-door01            detail/dt_stone1		10.0		10.0256  256  no
br_bk-door02            detail/dt_stone1		10.0		10.0256  256  no
br_bk-door03            detail/dt_stone1		10.0		10.0256  256  no
br_bk-door05            detail/dt_metal1		10.0		10.0256  256  no
br_bk-floor10           detail/dt_stone1		10.0		10.0256  256  no
br_bk-floor13           detail/dt_metal1		10.0		10.0256  256  no
br_bk-oil01             detail/dt_metal1		10.0		10.0256  256  no
