// Detail texture map file for de_stadium level
// [texture name]	[detail texture name]		[hscale]	[vscale]

{arrow2c		detail/dt_metal2		10.0		10.0
{arrow2d		detail/dt_metal2		10.0		10.0
{bars			detail/dt_metal2		10.0		10.0
{blue			detail/dt_metal2		10.0		10.0
{fence2			detail/dt_metal2		10.0		10.0
{fence3			detail/dt_metal2		10.0		10.0
{girder1		detail/dt_metal2		10.0		10.0
{guardgate1		detail/dt_metal2		10.0		10.0
{guardgate2		detail/dt_metal2		10.0		10.0
{guardgate3		detail/dt_metal2		10.0		10.0
{guardgate3a		detail/dt_metal2		10.0		10.0
{misc_pane1		detail/dt_metal2		10.0		10.0
{misc_pane2		detail/dt_metal2		10.0		10.0
{misc_stad_bnr1		detail/dt_fabric2		10.0		10.0
{railomatica		detail/dt_metal2		10.0		10.0
{railomatica2		detail/dt_metal2		10.0		10.0
{scrunchygate		detail/dt_metal1		10.0		10.0
{scrunchygate1		detail/dt_metal1		10.0		10.0
{siteA			detail/dt_fabric1		10.0		10.0
{siteB			detail/dt_fabric1		10.0		10.0
{target			detail/dt_fabric1		10.0		10.0
{towel1			detail/dt_fabric1		10.0		10.0
{troomrail		detail/dt_metal1		10.0		10.0
{turn1a			detail/dt_fabric1		10.0		10.0
{turn1b			detail/dt_fabric1		10.0		10.0
{turn2b			detail/dt_fabric1		10.0		10.0
~light3c		detail/dt_fabric1		10.0		10.0
~trn_lt1		detail/dt_fabric1		10.0		10.0
+0~fifties_lgt2		detail/dt_smooth2		10.0		10.0
+0~generic85		detail/dt_smooth2		10.0		10.0
+0~generic86		detail/dt_smooth2		10.0		10.0
+0britboard		detail/dt_smooth2		10.0		10.0
+0scoreboard		detail/dt_smooth2		10.0		10.0
+1britboard		detail/dt_smooth2		10.0		10.0
+1scoreboard		detail/dt_smooth2		10.0		10.0
+2britboard		detail/dt_smooth2		10.0		10.0
+2scoreboard		detail/dt_smooth2		10.0		10.0
+3britboard		detail/dt_smooth2		10.0		10.0
+3scoreboard		detail/dt_smooth2		10.0		10.0
+4britboard		detail/dt_smooth2		10.0		10.0
+4scoreboard		detail/dt_smooth2		10.0		10.0
+5britboard		detail/dt_smooth2		10.0		10.0
+5scoreboard		detail/dt_smooth2		10.0		10.0
+6scoreboard		detail/dt_smooth2		10.0		10.0
+7scoreboard		detail/dt_smooth2		10.0		10.0
+8scoreboard		detail/dt_smooth2		10.0		10.0
2x4side_t_01		detail/dt_wood2 		10.0		10.0
ad1			detail/dt_smooth2		10.0		10.0
ad2			detail/dt_smooth2		10.0		10.0
ad3			detail/dt_smooth2		10.0		10.0
ad4			detail/dt_smooth2		10.0		10.0
ad5			detail/dt_smooth2		10.0		10.0
babtech9d		detail/dt_metal2		10.0		10.0
bathtile		detail/dt_smooth2		5.0		5.0
c_box1			detail/dt_wood3 		5.0		5.0
