// [texture name]	[detail texture name]		[hscale]	[vscale]
null                    detail/dt_stone1		10.0		10.0256  256  no
scroll_arw_blu          detail/dt_stone1		10.0		10.0256  256  no
scroll_arw_red          detail/dt_stone1		10.0		10.0256  256  no
kong_door06             detail/dt_grass11		10.0		10.0256  256  no
kong_door08             detail/dt_grass11		10.0		10.0256  256  no
kong_rosd02             detail/dt_stone1		10.0		10.0256  256  no
kong_rosd03             detail/dt_stone1		10.0		10.0256  256  no
kong_rosd08             detail/dt_stone1		10.0		10.0256  256  no
kong_rosd10             detail/dt_stone1		10.0		10.0256  256  no
kong_rosd23             detail/dt_stone1		10.0		10.0256  256  no
kong_wall10             detail/dt_stone1		10.0		10.0256  256  no
line_Bwall06            detail/dt_wood1 		10.0		10.0256  256  no
zb_block01              detail/dt_grass11		10.0		10.0256  256  no
zb_bottom01             detail/dt_stone1		10.0		10.0256  256  no
zb_ceiling02            detail/dt_stone1		10.0		10.0256  256  no
zb_frame                detail/dt_stone1		10.0		10.0256  256  no
zb_wht_small01          detail/dt_stone1		10.0		10.0256  256  no
zv_wall00               detail/dt_stone1		10.0		10.0256  256  no
ze_door02               detail/dt_metal1		10.0		10.0256  256  no
ze_door05               detail/dt_wood1 		10.0		10.0256  256  no
ze_floor03              detail/dt_stone1		10.0		10.0256  256  no
ze_floor04              detail/dt_stone1		10.0		10.0256  256  no
ze_wall23               detail/dt_stone1		10.0		10.0256  256  no
ze_wall23_1             detail/dt_stone1		10.0		10.0256  256  no
ze_wall23_2             detail/dt_stone1		10.0		10.0256  256  no
AAATRIGGER              detail/dt_stone1		10.0		10.0256  256  no
chapel_win01a           detail/dt_grass11		10.0		10.0256  256  no
chapel_win01b           detail/dt_grass11		10.0		10.0256  256  no
city_road_01a           detail/dt_stone1		10.0		10.0256  256  no
clip                    detail/dt_stone1		10.0		10.0256  256  no
crimesc01               detail/dt_stone1		10.0		10.0256  256  no
dm_su_wall_05           detail/dt_stone1		10.0		10.0256  256  no
glassblock03            detail/dt_stone1		10.0		10.0256  256  no
marb_tiles              detail/dt_stone1		10.0		10.0256  256  no
miwoodm                 detail/dt_wood1 		10.0		10.0256  256  no
rock-02                 detail/dt_stone1		10.0		10.0256  256  no
