// Detail texture map file for ze_bloodcastle level
// [texture name]	[detail texture name]		[hscale]	[vscale]

!watergreen      detail/dt_smooth1		10.0		10.0 
+0elev_up2       detail/dt_metal1		10.0		10.0
+0exit           detail/dt_metal1		10.0		10.0
+aelev_up2       detail/dt_metal1		10.0		10.0
c2a3turbine4     detail/dt_metal1		10.0		10.0
con1_wall01p     detail/dt_metal1		10.0		10.0
elev2_flr        detail/dt_metal1		10.0		10.0
stripes3         detail/dt_metal1		10.0		10.0
tnnl_lgtbrd2     detail/dt_metal1		10.0		10.0
{fence           detail/dt_metal1		10.0		10.0
{fence3          detail/dt_metal1		10.0		10.0
{ladder2         detail/dt_metal1		10.0		10.0
~trn_lt1         detail/dt_metal1		10.0		10.0
ze_awning        detail/dt_fabric2		10.0		10.0
ze_box1          detail/dt_wood1		10.0		10.0
ze_box2          detail/dt_wood1		10.0		10.0
ze_caution       detail/dt_brick		10.0		10.0
ze_door02        detail/dt_wood1		10.0		10.0
ze_door03        detail/dt_wood1		10.0		10.0
ze_door05        detail/dt_wood1		10.0		10.0
ze_floor01       detail/dt_stone4		10.0		10.0
ze_floor03       detail/dt_stone4		10.0		10.0
ze_floor04       detail/dt_wood1		10.0		10.0
ze_frame_2       detail/dt_stone1		10.0		10.0
ze_metalfloor    detail/dt_metal1		10.0		10.0
ze_museum        detail/dt_metal1		10.0		10.0
ze_notice        detail/dt_metal1		10.0		10.0
ze_restaurant    detail/dt_metal1		10.0		10.0
ze_roof          detail/dt_metal1		10.0		10.0
ze_vent          detail/dt_metal1		10.0		10.0
ze_vent_1        detail/dt_metal1		10.0		10.0
ze_wall13        detail/dt_stone1		10.0		10.0
ze_wall13_1      detail/dt_stone1		10.0		10.0
ze_wall17        detail/dt_stone1		10.0		10.0
ze_wall18        detail/dt_stone1		10.0		10.0
ze_wall19        detail/dt_stone1		10.0		10.0
ze_wall20        detail/dt_stone1		10.0		10.0
ze_wall21        detail/dt_stone1		10.0		10.0
ze_wall22_1      detail/dt_stone1		10.0		10.0
ze_wall22_2      detail/dt_stone1		10.0		10.0
ze_wall23        detail/dt_stone1		10.0		10.0
ze_wall23_1      detail/dt_stone1		10.0		10.0
ze_wall23_2      detail/dt_stone1		10.0		10.0
scroll_ze_water  detail/dt_smooth1		10.0		10.0
ze_wood1         detail/dt_wood1		10.0		10.0
ze_wood2         detail/dt_wood1		10.0		10.0
{anni_fance01    detail/dt_metal1		10.0		10.0
{anni_ladder     detail/dt_metal1		10.0		10.0
pi_archt128      detail/dt_stone1		10.0		10.0
pi_archt128b     detail/dt_stone1		10.0		10.0
pi_archt256      detail/dt_stone1		10.0		10.0
pi_archt32       detail/dt_stone1		10.0		10.0
pi_archt32b      detail/dt_stone1		10.0		10.0
