// Detail texture map file for zs_decoy level
// [texture name]	[detail texture name]		[hscale]	[vscale]

!z3_water_1      detail/dt_smooth1		10.0		10.0 
cxbookse         detail/dt_leather1		10.0		10.0
cxbooksf         detail/dt_leather1		10.0		10.0
cxgroundk        detail/dt_leather1		10.0		10.0
lt_mirockwalla   detail/dt_rock1		10.0		10.0
lt_mirockwallb   detail/dt_rock1		10.0		10.0
z3_bottom_1      detail/dt_conc  		10.0		10.0
z3_bottom_2      detail/dt_conc 		10.0		10.0
z3_brick01       detail/dt_brick		10.0		10.0
z3_brick01_1     detail/dt_brick		10.0		10.0
z3_brick01_2     detail/dt_brick		10.0		10.0
z3_brick02       detail/dt_brick		10.0		10.0
z3_brick02_1     detail/dt_brick		10.0		10.0
z3_brick02_2     detail/dt_brick		10.0		10.0
z3_brick03       detail/dt_brick		10.0		10.0
z3_concrete1_1   detail/dt_conc 		10.0		10.0
z3_concrete_1    detail/dt_conc 		10.0		10.0
z3_c_bottom      detail/dt_conc 		10.0		10.0
z3_c_bottom01    detail/dt_conc 		10.0		10.0
z3_c_bottom02    detail/dt_conc 		10.0		10.0
z3_c_wall        detail/dt_conc 		10.0		10.0
z3_c_wall03      detail/dt_conc 		10.0		10.0
z3_c_wall03_1    detail/dt_conc 		10.0		10.0
z3_c_wall04_1    detail/dt_conc 		10.0		10.0
z3_c_wall04_2    detail/dt_conc 		10.0		10.0
z3_door          detail/dt_metal2		10.0		10.0
z3_door02        detail/dt_metal2		10.0		10.0
z3_metalbeam     detail/dt_metal2		10.0		10.0
z3_metalwall01   detail/dt_metal2		10.0		10.0
z3_metalwall03   detail/dt_metal2		10.0		10.0
z3_metalwall04   detail/dt_metal2		10.0		10.0
z3_metalwall05   detail/dt_metal2		10.0		10.0
z3_metalwall07   detail/dt_metal2		10.0		10.0
z3_metalwall08_  detail/dt_metal2		10.0		10.0
z3_metalwall11   detail/dt_metal2		10.0		10.0
z3_metalwall11_  detail/dt_metal2		10.0		10.0
z3_metalwall12   detail/dt_metal2		10.0		10.0
z3_metalwall12_  detail/dt_metal2		10.0		10.0
z3_metalwall13   detail/dt_metal2		10.0		10.0
z3_mud3          detail/dt_ground2		10.0		10.0
z3_m_door01      detail/dt_metal2		10.0		10.0
z3_sewer_1       detail/dt_metal2		10.0		10.0
z3_shutter       detail/dt_metal2		10.0		10.0
