itemID,zombieID,skinType,fileString,hasJacoVhand
524,1,MDL,cosspeed1,0
946,1,MDL,santaskinlight,0
947,2,MDL,santaskinheavy,0
8009,0,TEXTURE,up2skin,0
8010,1,TEXTURE,up2skin,0
8011,2,TEXTURE,up2skin,0
8012,3,TEXTURE,up2skin,0
8013,4,TEXTURE,up2skin,0
8014,5,TEXTURE,up2skin,0
8015,6,TEXTURE,up2skin,0
8016,7,TEXTURE,up2skin,0
8017,8,TEXTURE,up2skin,0
8018,9,TEXTURE,up2skin,0
8019,10,TEXTURE,up2skin,0
8020,11,TEXTURE,up2skin,0
8021,0,TEXTURE,up3skin,0
8022,1,TEXTURE,up3skin,0
8023,2,TEXTURE,up3skin,0
8024,3,TEXTURE,up3skin,0
8025,4,TEXTURE,up3skin,0
8026,5,TEXTURE,up3skin,0
8027,6,TEXTURE,up3skin,0
8028,7,TEXTURE,up3skin,0
8029,8,TEXTURE,up3skin,0
8030,9,TEXTURE,up3skin,0
8031,10,TEXTURE,up3skin,0
8032,11,TEXTURE,up3skin,0
8052,2,MDL,chefskinheavy,0
8053,11,MDL,nurseskinresi,0
8073,2,MDL,twskinheavy,0
8074,1,MDL,devilskinlight,0
8102,6,MDL,stonedeimos2,1
8105,7,MDL,mummystamper,0
8112,1,MDL,studentlight,0
8166,10,MDL,stoneboomer,1
8211,15,MDL,y19s2bloterskin,0
8212,1,MDL,y19s2lightskin,0
8280,3,MDL,y19s4psycho,0
8281,16,MDL,y19s4rustywing,0
8340,4,MDL,y20s1doctorskin,0
8341,8,MDL,y20s1witchskin,0
8362,11,MDL,y20s2resiskin,0
8363,14,MDL,y20s2bootskin,1
8397,1,MDL,y20s3speedskin,0
8398,7,MDL,y20s3stamperskin,0
