
// E = stone/default
// G = glass-breakable
// W = WOOD
// S = snow
// R = grass
// P = plaster
// M = Metal
// C = Carpet
// U = glass-unbreakable
// D = Sand
// I = Dirt
// N = No Effects

// M missile/plate_dmetal // sample


////////////////////////////////////////
//SKY
///////////////////////////////////////

N special/sky

////////////////////////////////////////////////////
//M1 Austria
////////////////////////////////////////////////////

E austria/{loophole_dark
E austria/{loophole_light
E austria/{loophole_trans
E austria/{windo_bot_trim
E austria/{windo_large
E austria/{windo_med
E austria/{windo_med_in_b
E austria/{windo_med_in_c
E austria/{windo_roof
E austria/{windo_small_light
E austria/{windo_small_light_in
E austria/{windo_small_trans
W austria/{wood_railing
E austria/arch
E austria/arch_snow
S austria/cliff_b_bot
S austria/cliff_b_main
S austria/cliff_b_top
S austria/cliff_snow
W austria/beam
E austria/clock
E austria/cobble_plain
E austria/column
E austria/column_snow
E austria/concrete
E austria/concrete_baseboard
E austria/concrete_loophole
W austria/crate_a_front
W austria/crate_a_front_snow
W austria/crate_a_side
W austria/crate_a_side_snow
W austria/crate_a_side
W austria/crate_a_side_snow
W austria/crate_a_top
S austria/crate_a_top_snow
W austria/crate_b_front
W austria/crate_b_front_snow
W austria/crate_b_side
W austria/crate_b_side_snow
W austria/crate_b_top
E austria/ctf_cem_1
E austria/ctf_cem_2
E austria/ctf_cem_door_1
E austria/ctf_cem_door_2
E austria/ctf_cem_win_1
E austria/ctf_cem_win_2
W austria/ctf_crate_1
W austria/ctf_crate_2
E austria/ctf_tower_1
E austria/ctf_tower_2
E austria/door_medium
E austria/door_medium_conc
E austria/door_medium_less_sno
E austria/door_medium_sno
E austria/door_medium_trans
E austria/ddoor_medium_trim
E austria/door_medium_wood
E austria/edge_dark_l
E austria/edge_dark_r
E austria/edge_light_sno_l
E austria/edge_light_sno_r
E austria/edge_trans_l
E austria/edge_trans_r
E austria/fireplace_back
E austria/fireplace_floor
E austria/fireplace_wall
E austria/flagstone_plain
S austria/fountain_ice
W austria/front_door
W austria/gate
E austria/gate_left
E austria/gate_right
S austria/generator_base
M austria/generator_front
M austria/generator_name
M austria/generator_side
M austria/generator_top
M austria/generator_vent
M austria/gondola_ceiling
M austria/gondola_controls
M austria/gondola_floor
M austria/gondola_treadplate
M austria/gondola_vent
M austria/guardrail
W austria/guardrail_post
E austria/helipad
C austria/in_carpet_bigmiddle
C austria/in_carpet_edge
C austria/in_carpet_middle
C austria/in_carpet_plain
W austria/in_cieling
W austria/in_cieling_trim
W austria/in_cieling_trim_a
W austria/in_cieling_trim_b
W austria/in_cieling_trim_d
W austria/in_cieling_trim_e
E austria/in_cloud_cieling
E austria/in_cloud_cieling_blue
W austria/in_desk_top
W austria/in_door_fancy
W austria/in_floor_trim
M austria/in_iron_post
E austria/in_marble_floor
W austria/in_painting_a
W austria/in_painting_b
W austria/in_painting_c
W austria/in_painting_d
W austria/in_painting_e
W austria/in_painting_f
W austria/in_painting_i
E austria/in_pale_marble
W austria/in_pillaster
P austria/in_plaster_dark
P austria/in_plaster_medium
P austria/in_wall_blank
P austria/in_wall_blank_b
P austria/in_wall_fancy
P austria/in_wall_fancy_arch
P austria/in_wall_fancy_arch_b
