// BOND SPEECH SYSTEM SENTENCES. PLEASE DO NOT CHANGE THIS FILE! Max of 1023 sentences.

// Alura

AL_CAV_PC_Alura5 alura/cav_pc_alura5
AL_CAV_PC_Alura8 alura/cav_pc_alura8

// SERVANT GIRL
SG_GREET servant_girl/dlg_greet
SG_THISWAY servant_girl/dlg_thisway

// BOND
BOND_COMEUP bond/dlg_comeup
BOND_SEEMAYHEW bond/dlg_seemayhew

// MAYHEW

MW_GETMEKILLED mayhew/Mayhew_stay

MW_BREAK1 mayhew/Mayhew_scolding_1
MW_BREAK2 mayhew/Mayhew_scolding_2
MW_BREAK3 mayhew/Mayhew_scolding_3
MW_BREAK4 mayhew/Mayhew_scolding_4
MW_BREAK5 mayhew/Mayhew_scolding_5
MW_BREAK6 mayhew/Mayhew_scolding_6
MW_BREAK7 mayhew/Mayhew_scolding_7
MW_BREAK8 mayhew/Mayhew_scolding_8
MW_BREAK9 mayhew/Mayhew_scolding_9
MW_BREAK10 mayhew/Mayhew_scolding_10
MW_BREAK11 mayhew/Mayhew_scolding_11
MW_BREAK12 mayhew/Mayhew_scolding_12
MW_BREAK13 mayhew/Mayhew_scolding_13

MW_PAIN1 mayhew/Mayhew_pain_1
MW_PAIN2 mayhew/Mayhew_pain_2
MW_PAIN3 mayhew/Mayhew_pain_3
MW_PAIN4 mayhew/Mayhew_pain_4
MW_PAIN5 mayhew/Mayhew_pain_5
MW_PAIN6 mayhew/Mayhew_pain_6
MW_PAIN7 mayhew/Mayhew_pain_7
MW_PAIN8 mayhew/Mayhew_pain_8
MW_PAIN9 mayhew/Mayhew_pain_9
MW_PAIN10 mayhew/Mayhew_pain_10
MW_PAIN11 mayhew/Mayhew_pain_11
MW_PAIN12 mayhew/Mayhew_pain_12
MW_PAIN13 mayhew/Mayhew_pain_13
MW_PAIN14 mayhew/Mayhew_pain_14
MW_PAIN15 mayhew/Mayhew_pain_15

MW_DIRECT1 mayhew/Mayhew_directions_1
MW_DIRECT2 mayhew/Mayhew_directions_2
MW_DIRECT3 mayhew/Mayhew_directions_3
MW_DIRECT4 mayhew/Mayhew_directions_4
MW_DIRECT5 mayhew/Mayhew_directions_5
MW_DIRECT6 mayhew/Mayhew_directions_6
MW_DIRECT7 mayhew/Mayhew_directions_7
MW_DIRECT8 mayhew/Mayhew_directions_8
MW_DIRECT9 mayhew/Mayhew_directions_9
MW_DIRECT10 mayhew/Mayhew_directions_10
MW_DIRECT11 mayhew/Mayhew_directions_11
MW_DIRECT12 mayhew/Mayhew_directions_12
MW_DIRECT13 mayhew/Mayhew_directions_13

MW_NOTDONE1 mayhew/Mayhew_bunker_fail_1
MW_NOTDONE2 mayhew/Mayhew_bunker_fail_2
MW_NOTDONE3 mayhew/Mayhew_bunker_fail_3
MW_NOTDONE4 mayhew/Mayhew_bunker_fail_4
MW_NOTDONE5 mayhew/Mayhew_bunker_fail_5
MW_NOTDONE6 mayhew/Mayhew_bunker_fail_6
MW_NOTDONE7 mayhew/Mayhew_bunker_fail_7
MW_NOTDONE8 mayhew/Mayhew_bunker_fail_8
MW_NOTDONE9 mayhew/Mayhew_bunker_fail_9
MW_NOTDONE10 mayhew/Mayhew_bunker_fail_10
MW_NOTDONE11 mayhew/Mayhew_bunker_fail_11
MW_NOTDONE12 mayhew/Mayhew_bunker_fail_12
MW_NOTDONE13 mayhew/Mayhew_bunker_fail_13


// Yakuza
YK_ALERT0 yakuza/yakuza_intruder
YK_ALERT1 yakuza/yakuza_saw_him

YK_CORPSE0 yakuza/yakuza_saki
YK_CORPSE1 yakuza/yakuza_no_sleeping
YK_CORPSE2 yakuza/yakuza_get_up

YK_HELP0 yakuza/yakuza_help_help
YK_HELP1 yakuza/yakuza_intruder

YK_TAUNT0 yakuza/yakuza_agent_man
YK_TAUNT1 yakuza/yakuza_hide_forever
YK_TAUNT2 yakuza/yakuza_find_you
YK_TAUNT3 yakuza/yakuza_somewhere
YK_TAUNT4 yakuza/yakuza_where_are_you

YK_CHARGE0 yakuza/yakuza_find_you
YK_CHARGE1 yakuza/yakuza_hide_forever

YK_COVER0 yakuza/yakuza_go_there
YK_COVER1 yakuza/yakuza_get_up

YK_SOUND0 yakuza/yakuza_whos_there
YK_SOUND1 yakuza/yakuza_where_are_you
YK_SOUND2 yakuza/yakuza_where_did_he_go

YK_PAIN0 yakuza/yakuza_pain1
YK_PAIN1 yakuza/yakuza_pain2
YK_PAIN2 yakuza/yakuza_pain3
YK_PAIN3 yakuza/yakuza_pain4
YK_PAIN4 yakuza/yakuza_pain5

YK_TAUNT1 yakuza/yk_combat1
YK_TAUNT2 yakuza/yk_combat2
YK_TAUNT3 yakuza/yk_combat3
YK_TAUNT4 yakuza/yk_combat4
YK_TAUNT5 yakuza/yk_combat5
YK_TAUNT6 yakuza/yk_combat6
YK_TAUNT7 yakuza/yk_combat7
YK_TAUNT8 yakuza/yk_combat8


// Snow Guard
SG_PAIN0 snowguard/sg_pain1
SG_PAIN1 snowguard/sg_pain2
SG_PAIN2 snowguard/sg_pain3
SG_PAIN3 snowguard/sg_pain4
SG_PAIN4 snowguard/sg_pain5
SG_PAIN5 snowguard/sg_pain6
SG_PAIN6 snowguard/sg_pain7
SG_PAIN7 snowguard/sg_pain8
SG_PAIN8 snowguard/sg_pain9

SG_ALERT0 snowguard/sg_halt1
SG_ALERT1 snowguard/sg_halt2

SG_COVER0 snowguard/give_me_cover1
SG_COVER1 snowguard/give_me_cover2

SG_TAUNT0 snowguard/sg_combat1
SG_TAUNT1 snowguard/sg_combat2
SG_TAUNT2 snowguard/sg_combat3
SG_TAUNT3 snowguard/sg_combat4
SG_TAUNT4 snowguard/sg_combat5
SG_TAUNT5 snowguard/sg_combat6

SG_DELIVERY1 snowguard/sg_NIS1_delivery1
SG_DELIVERY2 snowguard/sg_NIS1_delivery2

SG_GUARD1CHAT1 snowguard/sg_NIS2_GuardA_1
SG_GUARD1CHAT2 snowguard/sg_NIS2_GuardA_2
SG_GUARD1CHAT3 snowguard/sg_NIS2_GuardA_3
SG_GUARD1CHAT4 snowguard/sg_NIS2_GuardA_4
SG_GUARD1CHAT5 snowguard/sg_NIS2_GuardA_5
SG_GUARD2CHAT1 snowguard/sg_NIS2_GuardB_1
SG_GUARD2CHAT2 snowguard/sg_NIS2_GuardB_2
SG_GUARD2CHAT3 snowguard/sg_NIS2_GuardB_3
SG_GUARD2CHAT4 snowguard/sg_NIS2_GuardB_4

SG_SURPRISE0 snowguard/sg_surprise1
SG_SURPRISE1 snowguard/sg_surprise2
SG_SURPRISE2 snowguard/sg_surprise3
SG_SURPRISE3 snowguard/sg_surprise4
SG_SURPRISE4 snowguard/sg_surprise5

SG_LIGHTOUT0 snowguard/sg_lost_him1

SG_AIR_PC_SNOGUARD_1 snowguard/AIR_PC_SNOGUARD_1
SG_AIR_PC_SNOGUARD_2 snowguard/AIR_PC_SNOGUARD_2
SG_AIR_PC_SNOGUARD_3 snowguard/AIR_PC_SNOGUARD_3
SG_AIR_PC_SNOGUARD_4 snowguard/AIR_PC_SNOGUARD_4
